STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-482,,290,-0.13,11.661,12.173,11.536,4.6,0.75,,0.72,4871
Kepler-1495,,1307,0.06,13.833,14.176,13.845,4.42,1.03,,1.04,5831
WASP-94 B,,,0.23,,,,4.26,1.24,,1.35,6040
Kepler-1174,,829,-0.04,12.81,13.151,12.762,4.42,1.04,,1.04,5936
Kepler-581,,833,0.03,12.946,13.322,12.932,4.44,1,,1,5772
Kepler-693,,1002,-0.1,14.359,14.877,14.178,4.61,0.76,,0.72,4881
Kepler-1102,,986,-0.08,13.48,13.838,13.381,4.48,0.96,,0.94,5724
Kepler-652,,423,0.17,11.848,12.192,11.737,4.54,0.97,,0.88,5490
Kepler-420,0.963,900,0.27,12.82,13.22,12.72,4.32,0.99,0.987,1.13,5520
HD 66428,0.715,54.9149,0.310226,6.768,7.044,6.66,4.49038,1.061,,0.979625,5752.03
HD 52265,0.572,28.9603,0.193307,5.033,5.241,4.953,4.26339,1.17,,1.34703,6076.31
HATS-14,0.799,513,0.33,12.05,12.43,11.98,4.484,0.967,1.682,0.933,5346
Kepler-75,,1140,-0.07,13.262,13.665,13.118,4.5,0.88,1.79,0.88,5330
Kepler-554,,642,0.14,12.654,13.043,12.615,4.49,0.93,,0.92,5447
Kepler-1294,,1120,-0.03,13.657,14.021,13.597,4.46,0.99,,0.97,5776
Kepler-1282,,1126,0.01,13.941,14.318,13.852,4.51,0.92,,0.89,5504
Kepler-740,,1262,0.03,14.251,14.613,14.177,4.52,0.91,,0.87,5438
HD 16417,0.67,25.7798,0.07,4.184,4.596,4.246,4.17,1.115,,1.45645,5817
Kepler-15,,,0.36,12.28,12.578,12.216,4.46,1.018,1.47,0.992,5515
HD 205739,0.54,107.759,0.19,7.35,7.585,7.299,4.21,1.22,,1.46292,6176
Kepler-851,,869,-0.07,13.478,13.876,13.392,4.53,0.89,,0.85,5455
Kepler-1342,,941,0.03,13.538,13.971,13.531,4.51,0.93,,0.9,5527
Kepler-781,,1036,-0.1,14.125,14.598,14.049,4.58,0.81,,0.78,5162
Kepler-1161,,428,-0.35,13.257,13.875,13.141,4.7,0.59,,0.57,4253
CoRoT-16,1.05,840,0.19,12.98,13.496,12.847,4.36,1.098,0.93,1.19,5650
HD 216770,0.821,35.5745,0.26,6.429,6.752,6.311,4.4,0.9,,1.03957,5423
HD 136418,0.93,98.2318,-0.07,,,,3.4,1.33,,3.83357,4972
Kepler-907,,352,-0.15,10.316,10.588,10.282,4.19,1.08,,1.38,6106
Kepler-1402,,681,0.03,12.927,13.31,12.862,4.53,0.9,,0.87,5416
Kepler-98,,,0.18,11.316,11.672,11.253,4.341,0.99,1.12,1.11,5539
beta Pic,0.168,19.3,,3.544,3.669,3.526,,1.75,,,
Kepler-1259,,704,-0.07,13.339,13.872,13.28,4.58,0.8,,0.77,5053
Kepler-1142,,697,0.02,12.672,13.031,12.648,4.46,0.97,,0.96,5685
HD 188015,0.727,57.0125,0.288779,6.716,7.008,6.631,4.44488,1.056,,1.03281,5745.68
WASP-59,0.92,125,-0.15,,,,4.72,0.719,4.37888,0.613,4650
WASP-54,0.56,200,-0.27,9.135,9.365,9.035,3.997,1.213,0.27878,1.828,6100
HAT-P-8,0.41,230.001,0.01,9.004,9.214,8.953,4.15,1.28,,1.58,6200
Kepler-1533,,852,0.03,11.965,12.224,11.926,4.2,1.31,,1.51,6431
WASP-15,0.37,,-0.17,9.713,9.956,9.693,4.35,1.18,0.365,1.477,6300
Kepler-425,1.077,650,0.24,12.931,13.76,12.806,4.532,0.93,1.448,0.86,5170
Kepler-767,,1185,-0.05,13.891,14.26,13.812,4.48,0.96,,0.94,5694
XO-4,0.35,293,,9.476,9.667,9.406,,1.32,,,
WASP-48,0.660001,,-0.12,10.44,10.627,10.372,4.03,1.19,0.22,1.75,5920
Kepler-566,,628,-0.01,13.089,13.508,12.929,4.57,0.83,,0.79,5132
WASP-32,0.8,,-0.13,10.248,10.503,10.161,4.4,1.07,1.1827,1.09,6140
OGLE-TR-211,,,0.11,13.42,,13.38,4.22,1.33,,1.64,6325
gamma Cep,1.031,14.1024,0.13,1.189,1.661,1.038,3.1,1.26,,5.01,4764
Kepler-1182,,1258,0.01,13.77,14.11,13.67,4.41,1.04,,1.05,5924
Kepler-617,,150,-0.07,11.802,12.437,11.573,4.77,0.51,,0.48,3712
Kepler-1035,,408,-0.03,11.459,11.817,11.416,4.45,0.98,,0.97,5763
GJ 86,0.812,10.7828,-0.267896,4.245,4.785,4.125,4.59375,0.796,,0.748264,5150.54
Kepler-470,,989,0.04,12.042,12.269,12.034,4.14,1.4,,1.66,6613
Kepler-1637,,506,0.07,11.852,12.142,11.778,4.43,1.02,,1.02,5789
Kepler-1346,,1123,0.04,13.093,13.392,13.107,4.33,1.14,,1.21,6133
HD 8574,0.577,44.5633,-0.00891622,5.823,6.048,5.783,4.20473,1.122,,1.42266,6049.74
MOA-2007-BLG-192L,,660,,,,,,0.084,,,
HD 82886,0.864,125,-0.31,5.563,5.995,5.452,3.4,1.06,,3.83685,5112
HD 179949,0.548,27.5482,0.136947,5.1,5.296,4.935,4.34052,1.181,,1.22645,6168.3
Kepler-1167,,811,-0.05,13.819,14.327,13.663,4.6,0.79,,0.75,4971
HD 2952,1.037,115.207,0,3.779,4.264,3.629,2.67,2.54,,11.4311,4844
Kepler-1063,,365,0.09,10.83,11.159,10.793,4.37,1.09,,1.14,5945
MOA-2009-BLG-319L,,6100,,,,,,0.38,,,
Kepler-1340,,1421,0.07,13.279,13.563,13.24,4.24,1.27,,1.42,6331
HD 28678,1.01,227,-0.21,5.942,6.447,5.775,3.07,2.03,,6.33673,5052
WASP-56,1.256,255,0.12,10.603,10.874,10.532,,1.107,1.04192,1.112,5600
Kepler-540,,350,-0.1,10.86,11.167,10.81,4.38,1.02,,1.08,5946
HATS-6,1.504,148.4,0.2,11.39,12.04,11.22,4.683,0.574,4.36,0.57,3724
Kepler-739,,1128,-0.08,13.878,14.265,13.847,4.51,0.93,,0.9,5601
Kepler-515,,255,0.08,10.946,11.295,10.885,4.55,0.9,,0.83,5293
Kepler-947,,1188,-0.07,14.158,14.517,13.972,4.52,0.9,,0.87,5508
Kepler-1560,,529,0.04,11.912,12.247,11.868,4.43,1.02,,1.02,5815
Kepler-1230,,1433,0.01,13.875,14.232,13.915,4.4,1.06,,1.08,5961
Kepler-923,,966,0.07,12.717,12.978,12.665,4.28,1.11,,1.26,5988
CoRoT-8,1.3,380.228,0.315,11.641,12.154,11.463,4.58,0.88,1.92857,0.77,5080
Kepler-723,,965,0,13.593,13.949,13.499,4.51,0.92,,0.89,5539
Kepler-844,,394,-0.24,13.194,13.804,13.058,4.7,0.59,,0.57,4128
Kepler-1283,,1452,0.04,13.612,13.92,13.567,4.31,1.16,,1.25,6175
Kepler-1430,,541,-0.03,13.061,13.546,12.932,4.62,0.77,,0.72,4796
Kepler-1069,,435,0.04,11.628,11.945,11.538,4.46,0.99,,0.98,5722
Kepler-1324,,522,0.05,12.944,13.472,12.834,4.61,0.78,,0.73,4776
CoRoT-20,0.65,1230,0.14,12.652,12.991,12.513,4.2,1.14,1.51,1.02,5880
HD 96167,0.73,86.9565,0.34,6.621,6.926,6.554,3.96,1.31,,1.98284,5770
HD 43197,0.817,56.3063,0.4,7.328,7.658,7.203,4.31,0.96,,1.19673,5508
Kepler-912,,1265,0.02,13.632,14.014,13.602,4.37,1.07,,1.11,5998
Kepler-514,,489,0.36,10.906,11.202,10.875,4.23,1.28,,1.44,6106
Kepler-998,,996,0.07,12.943,13.229,12.888,4.34,1.12,,1.18,6058
Kepler-1335,,628,-0.07,13.276,13.787,13.134,4.6,0.77,,0.74,4903
HD 37605,0.827,43.9754,0.336,6.916,7.266,6.815,4.511,1,,0.916831,5448
Kepler-1601,,660,0.05,12.311,12.602,12.216,4.4,1.04,,1.07,5869
Kepler-659,,688,0.02,13.471,13.963,13.353,4.6,0.79,,0.74,4870
Kepler-1332,,515,0,12.203,12.568,12.122,4.51,0.95,,0.9,5581
Kepler-814,,1327,0.01,13.415,13.713,13.418,4.33,1.15,,1.22,6162
Kepler-1168,,911,0.13,13.771,14.146,13.686,4.56,0.87,,0.82,5157
Kepler-955,,637,0.02,12.854,13.269,12.807,4.54,0.89,,0.84,5350
Kepler-1328,,630,0,12.348,12.695,12.305,4.44,1,,0.99,5780
Kepler-663,,1030,0.03,14.018,14.448,13.903,4.55,0.86,,0.82,5264
Kepler-624,,731,-0.06,12.195,12.514,12.205,4.33,1.1,,1.18,6117
Kepler-1526,,576,-0.01,13.291,13.928,13.208,4.62,0.73,,0.69,4601
Kepler-699,,888,-0.26,13.744,14.236,13.672,4.58,0.81,,0.78,5330
WASP-23,0.88,,,,12.43,10.53,4.4,0.78,,0.765,5150
Kepler-594,,742,-0.03,13.104,13.48,13.001,4.52,0.91,,0.87,5485
11 Com,0.986,88.8889,-0.34,2.484,2.943,2.282,2.61,2.04,,12.0698,4830
HD 145377,0.623,55.0358,0.12,6.797,7.014,6.706,4.49,1.12,,1.00052,6046
Kepler-1554,,982,-0.1,13.932,14.367,13.814,4.56,0.84,,0.81,5297
Kepler-650,,805,0.13,12.237,12.525,12.144,4.21,1.08,,1.35,5849
Kepler-1429,,1156,0.04,13.508,13.775,13.404,4.4,1.05,,1.07,5902
CoRoT-25,0.841,1000,-0.01,12.99,13.3,12.846,4.28,1.09,,1.19,6040
omicron CrB,1.008,82.7815,-0.29,3.169,3.651,2.934,2.34,2.13,,10.5,4749
Kepler-954,,224,0.02,10.945,11.409,10.84,4.59,0.82,,0.76,4990
Kepler-1408,,426,0,10.736,10.976,10.694,4.25,1.21,,1.35,6170
Kepler-779,,224,-0.43,12.872,13.441,12.608,4.81,0.46,,0.44,3804
OGLE-TR-132,,172.414,0.37,,,,4.313,1.305,0.514,1.32,6210
beta Gem,1,10.3584,0.09,-0.845,-0.315,-0.936,2.91,2.08,,8.15609,4935
Kepler-633,,634,-0.05,12.101,12.437,11.978,4.32,1.02,,1.15,5899
Kepler-1159,,1238,0.04,13.183,13.473,13.156,4.3,1.19,,1.28,6217
Kepler-1443,,475,0,11.098,11.337,11.021,4.3,1.19,,1.27,6289
Pr 201,0.77,170,0.187,9.227,9.463,9.142,4.41,1.234,,1.12943,6174
Kepler-541,,1020,0.07,11.814,12.079,11.733,3.96,1.41,,2.06,6166
Kepler-625,,502,0.1,11.938,12.203,11.905,4.49,1.04,,0.96,5789
WASP-52,0.9,140,0.03,,,,4.582,0.87,2.47808,0.79,5000
Kepler-1186,,1112,0,13.809,14.144,13.672,4.49,0.95,,0.93,5635
Kepler-927,,879,0.03,13.137,13.46,13.032,4.45,0.99,,0.99,5743
Kepler-660,,564,-0.07,13.12,13.672,13.033,4.61,0.75,,0.71,4779
Kepler-1385,,527,0.41,11.394,11.724,11.361,4.27,1.15,,1.29,5732
HD 240210,1.65,142.857,-0.18,4.587,5.306,4.388,2.3,1.25,,17.2701,4290
Kepler-1255,,1344,0.02,13.706,14.036,13.692,4.37,1.08,,1.12,6018
Kepler-906,,758,-0.09,12.664,12.944,12.594,4.45,1.06,,1.02,6035
Kepler-1625,,1213,0.01,13.989,14.364,13.916,4.48,0.96,,0.94,5677
Kepler-77,0.929999,570,0.2,12.444,12.758,12.361,4.42,0.95,,0.99,5520
Kepler-719,,1427,-0.02,14.207,14.572,14.126,4.45,0.99,,0.98,5777
HD 109749,0.68,56.2746,0.25,6.796,7.057,6.677,4.403,1.21,,1.10733,5903
Kepler-1455,,392,-0.02,13.085,13.772,12.922,4.68,0.62,,0.6,4075
Kepler-775,,400,-0.04,11.823,12.213,11.774,4.56,0.92,,0.84,5468
Kepler-685,,1145,0.15,13.355,13.656,13.307,4.36,1.11,,1.16,5963
Kepler-500,,747,0.03,12.693,12.995,12.588,4.42,1.02,,1.03,5813
Kepler-1162,,989,-0.03,13.76,14.178,13.753,4.54,0.89,,0.84,5390
Kepler-721,,848,-0.01,13.739,14.187,13.627,4.58,0.82,,0.78,5075
WASP-50,0.990001,230,-0.12,10.041,10.401,9.969,4.537,0.892,2.072,0.843,5400
Kepler-1540,,262,0.1,11.664,12.25,11.519,4.63,0.74,,0.69,4540
Kepler-607,,500,-0.02,12.498,12.965,12.426,4.56,0.84,,0.8,5196
Kepler-1317,,734,-0.01,13.316,13.822,13.309,4.57,0.83,,0.79,5144
Kepler-1507,,342,-0.03,11.461,11.866,11.386,4.53,0.89,,0.85,5410
Kepler-1384,,618,-0.06,13.276,13.786,13.074,4.6,0.78,,0.74,4919
Kepler-1007,,365,0.03,12.326,12.94,12.224,4.62,0.73,,0.7,4587
Kepler-1477,,525,-0.06,12.701,13.176,12.594,4.58,0.81,,0.78,5100
Kepler-105,0.67,,,11.555,11.811,11.503,4.305,,,1.16,5873
WASP-98,,,-0.6,11.295,11.691,11.284,4.4,0.69,1.99,0.7,5550
Kepler-1547,,665,0.04,12.063,12.332,11.996,4.34,1.12,,1.18,6078
GJ 3470,1.17,,,8.206,8.794,7.989,,0.541,,0.503,3600
K2-22,,225,0.03,12.09,12.72,11.92,0.12,0.6,,0.57,3830
Kepler-696,,1285,0.07,13.77,14.069,13.624,4.39,1.06,,1.08,5903
Kepler-1133,,821,-0.02,13.173,13.596,13.168,4.5,0.93,,0.9,5569
Kepler-801,,419,-0.17,12.888,13.489,12.763,4.66,0.67,,0.63,4435
Kepler-1620,,773,0.03,12.283,12.559,12.198,4.31,1.15,,1.23,6157
Kepler-1644,,592,-0.1,12.579,12.989,12.552,4.53,0.89,,0.86,5499
Kepler-789,,915,-0.06,13.091,13.454,13.005,4.42,1.01,,1.02,5870
Kepler-641,,673,0.15,12.256,12.576,12.186,4.33,1.02,,1.13,5713
HD 96127,1.503,483.092,-0.24,4.124,4.887,3.911,2.06,0.91,,23.2289,4152
HD 17156,0.643,75.0188,0.24,6.857,7.08,6.762,4.191,1.285,0.5301,1.507,6079
Kepler-1038,,622,-0.04,12.923,13.376,12.782,4.55,0.87,,0.83,5335
Kepler-1137,,971,0.05,11.763,11.917,11.699,4.08,1.5,,1.84,6807
Kepler-1264,,814,-0.02,12.959,13.305,12.901,4.45,0.99,,0.98,5791
Kepler-513,,467,-0.01,11.551,11.846,11.469,4.39,1.02,,1.06,5849
HAT-P-44,-0.0100002,363,0.33,11.36,11.729,11.275,4.46,0.942,,0.949,5295
HD 16760,0.71,45.4545,-0.02,7.095,7.431,7.033,4.51,0.78,,0.909718,5620
HD 30562,0.63,26.4201,0.26,4.57,4.98,4.31,4.23,1.277,,1.39121,5936
Kepler-46,,855,0.41,13.436,13.814,13.347,4.447,0.902,1.53,0.938,5155
Kepler-1215,,701,0.01,12.807,13.162,12.714,4.48,0.95,,0.93,5616
WASP-100,0.27,,-0.03,9.715,9.928,9.669,4.35,1.57,0.2,2,6900
Kepler-1465,,350,-0.06,12.161,12.718,12.043,4.62,0.75,,0.71,4726
epsilon CrB,1.23,67.8887,-0.22,1.488,2.104,1.349,1.94,1.44,,29.1175,4436
omicron UMa,0.83,54.9149,-0.09,1.4,1.87,1.34,2.64,3.09,,14.1,5242
TrES-2,0.619,212.766,-0.15,9.92,10.232,9.85,4.427,0.983,1.3233,1.003,5850
Kepler-282,,,,13.718,14.08,13.65,4.459,,,0.904,5602
Kepler-614,,571,-0.07,12.72,13.195,12.662,4.55,0.85,,0.81,5268
Kepler-1018,,894,-0.05,13.458,13.838,13.373,4.52,0.91,,0.88,5518
Kepler-799,,1029,-0.07,13.601,13.969,13.524,4.49,0.95,,0.93,5681
Kepler-857,,1039,0.02,13.499,13.847,13.403,4.45,0.99,,0.99,5773
Kepler-979,,606,-0.02,12.794,13.257,12.732,4.54,0.87,,0.83,5310
HD 11755,1.216,234.192,-0.74,3.931,4.667,3.76,1.67,0.9,,27.3,4312.5
HD 102195,0.835,29.6384,0.05,6.267,6.628,6.15,4.45,0.87,,0.937994,5291
Kepler-1320,,771,0.1,13.713,14.231,13.658,4.6,0.8,,0.74,4817
Kepler-855,,1043,0.06,13.403,13.737,13.338,4.42,1.03,,1.03,5835
Kepler-1600,,992,0.07,13.903,14.351,13.896,4.55,0.86,,0.82,5214
Kepler-1189,,883,0.08,12.77,13.066,12.675,4.36,1.11,,1.16,6012
HD 75289,0.578,29.146,0.216617,5.187,5.346,5.011,4.33476,1.187,,1.23372,6095.03
Kepler-394,,,,13.436,13.724,13.384,4.408,,,1.132,6402
HD 185269,0.606,50.2765,-0.025,5.4,5.517,5.259,3.94,1.28,,2.59,5980
WASP-7,0.42,140,0,8.414,8.648,8.396,4.363,1.2,,1.236,6400
BD -10 3166,0.903,80,0.381727,8.3,8.61,8.124,4.68527,0.92,,0.745254,5393.03
Kepler-1431,,1270,0.07,13.787,14.098,13.756,4.42,1.03,,1.03,5806
Kepler-1163,,487,0.02,10.982,11.253,10.971,4.26,1.22,,1.35,6302
GJ 317,1.52,15.1,0.36,7.321,7.934,7.028,,0.24,,,
Kepler-526,,504,0.34,11.569,11.91,11.475,4.38,1.15,,1.14,5894
Kepler-591,,793,0.01,12.953,13.327,12.971,4.48,0.97,,0.94,5677
WASP-44,0.8,,0.06,11.408,11.702,11.341,4.481,0.951,0.85,0.927,5410
Kepler-602,,971,-0.02,12.999,13.328,12.936,4.37,1.08,,1.13,6062
Kepler-1023,,686,0.05,12.897,13.243,12.762,4.51,0.93,,0.89,5494
Kepler-1362,,767,0.06,13.686,14.208,13.628,4.6,0.8,,0.74,4857
Kepler-708,,1241,0.01,13.958,14.32,13.871,4.47,0.97,,0.96,5692
CoRoT-12,0.828,1150,0.16,13.63,14.024,13.557,4.375,1.078,0.77,1.116,5675
CoRoT-1,0.16,,-0.3,12.218,12.462,12.149,4.25,0.95,,1.11,5950
Kepler-1202,,1393,0.06,14.046,14.348,13.946,4.42,1.03,,1.04,5834
Kepler-753,,278,-0.03,11.966,12.608,11.875,4.65,0.68,,0.65,4346
Kepler-1134,,997,-0.1,13.955,14.426,13.881,4.56,0.84,,0.81,5281
HD 75784,0.99,68.7,0.25,5.626,6.092,5.502,3.56,1.41,,3.3,4917
Kepler-622,,259,-0.09,12.073,12.689,11.909,4.67,0.64,,0.61,4201
HD 102117,0.721,39.6983,0.295218,5.948,6.224,5.833,4.36565,1.083,,1.13334,5695.18
Kepler-1114,,427,-0.08,12.042,12.438,11.944,4.55,0.87,,0.83,5374
Kepler-1059,,673,-0.15,13.427,13.993,13.351,4.61,0.75,,0.72,4906
HD 189733,0.931,19.4515,-0.03,5.586,6.073,5.541,4.587,0.806,1.907,0.756,5040
HD 108863,0.99,139.005,0.2,5.516,6.022,5.392,2.99,2.08,,7.27656,4919
Kepler-582,,751,0.01,13.034,13.467,12.992,4.49,0.93,,0.91,5564
Kepler-629,,383,0.01,11.729,12.107,11.646,4.55,0.93,,0.84,5444
HD 10442,0.93,,0.11,5.729,6.158,5.59,3.5,1.56,,3.39124,5034
Kepler-1213,,685,0.13,12.043,12.367,11.988,4.33,1.14,,1.21,6050
Kepler-867,,824,-0.02,13.185,13.602,13.148,4.49,0.92,,0.91,5541
Kepler-1438,,866,0.2,13.242,13.513,13.136,4.46,0.97,,0.96,5530
HD 1502,0.92,159,-0.04,6.234,6.681,6.12,3.3,1.47,,4.48335,4984
HD 142022,0.79,34.3289,0.19,6.099,6.384,5.964,4.36,0.9,,1.09856,5499
Kepler-1061,,585,-0.03,11.98,12.21,11.934,4.42,1.09,,1.07,6067
Kepler-766,,1614,0.09,14.128,14.398,13.994,4.36,1.1,,1.15,5992
WASP-72,0.64,250,-0.06,9.724,9.964,9.617,4.095,1.327,0.37312,1.71,6250
Kepler-819,,722,-0.06,13.214,13.688,13.163,4.55,0.86,,0.81,5279
HD 212771,0.882,131.062,-0.14,5.578,6.025,5.496,3.38,1.51,,4.00571,5091
Kepler-441,,284,-0.57,12.4,13.04,12.288,4.715,0.572,4.94,0.55,4340
Kepler-1228,,547,-0.18,12.877,13.383,12.799,4.59,0.78,,0.74,5063
Kepler-956,,631,0.02,11.975,12.284,11.958,4.36,1.1,,1.15,6040
HD 101930,0.908,29.2056,0.17,6.259,6.645,6.147,4.24,0.74,,1.19859,5079
Kepler-1281,,1090,-0.04,14.094,14.477,13.929,4.55,0.87,,0.83,5353
Kepler-1640,,1379,0.1,13.263,13.49,13.079,4.23,1.27,,1.43,6324
Kepler-914,,678,0.22,12.181,12.482,12.131,4.36,1.1,,1.15,5877
HD 131664,0.667,56.2746,0.32,6.727,6.973,6.647,4.44,1.1,,1.06217,5886
HIP 57050,1.6,11,0.32,7.069,7.608,6.822,4.67,0.34,,,3190
GJ 687,1.5,4.5,-0.09,4.77,5.335,4.548,,0.413,,0.4183,3413
WASP-73,0.509999,,0.14,9.073,9.352,9.028,3.93,1.34,0.2112,2.07,6030
Kepler-1467,,890,-0.07,13.704,14.139,13.577,4.55,0.86,,0.82,5332
Kepler-643,,1029,0.13,11.672,12.212,11.583,3.64,1,,2.52,4908
WASP-67,0.36,225.002,-0.07,,,,4.35,0.87,1.85856,0.87,5200
Kepler-1055,,422,-0.02,11.628,11.956,11.569,4.49,0.98,,0.94,5723
Kepler-1329,,624,0.02,13.499,14.168,13.435,4.62,0.72,,0.69,4500
Kepler-531,,254,-0.03,11.245,11.772,11.177,4.58,0.78,,0.75,4893
Kepler-1261,,795,0.03,13.633,14.109,13.558,4.58,0.82,,0.77,5006
Kepler-1521,,227,-0.05,10.936,11.415,10.84,4.59,0.81,,0.76,5042
HD 92788,0.694,35.461,0.317892,5.798,6.131,5.721,4.65824,1.078,,0.813756,5836.08
Kepler-694,,1023,0,13.522,13.882,13.493,4.47,0.97,,0.95,5700
CoRoT-26,1.083,1670,0.01,13.36,13.813,13.26,4.1,1.09,,1.79,5590
HAT-P-12,-0.24,142.5,-0.29,10.236,10.794,10.108,4.61,0.73,,0.701,4650
Kepler-994,,170,-0.13,11.611,12.264,11.453,4.72,0.56,,0.54,3934
Kepler-1417,,656,0.02,12.4,12.714,12.339,4.43,1.02,,1.02,5839
HD 114613,0.7,20.6697,0.19,3.346,3.692,3.303,3.97,1.364,,1.91632,5729
Kepler-483,,953,0.09,12.251,12.516,12.222,4.21,1.28,,1.47,6346
Kepler-1435,,681,-0.03,11.785,11.995,11.729,4.28,1.21,,1.32,6356
Kepler-1405,,1605,0.03,14.212,14.583,14.237,4.4,1.05,,1.07,5925
Kepler-1397,,770,0,12.517,12.849,12.468,4.37,1.09,,1.12,6026
HATS-2,0.016,360,0.15,11.475,11.906,11.386,4.48,0.882,,0.898,5227
HD 19994,0.575,22.5785,0.18649,3.767,4.174,3.748,4.24192,1.365,,1.40403,6188.02
WASP-29,0.82,70,0.11,8.875,9.353,8.783,4.5,0.825,1.56,0.808,4800
OGLE-TR-182,,,,14.9,15.45,14.74,4.47,1.14,,1.14,5924
Kepler-1289,,1059,0.02,13.109,13.439,13.043,4.35,1.1,,1.17,6080
Kepler-1576,,539,0.05,11.889,12.197,11.8,4.4,1.05,,1.06,5876
HD 85512,1.156,11.152,-0.33,4.998,5.451,4.717,4.39,0.69,,0.881928,4715
HD 106252,0.635,37.7074,-0.0762657,6.016,6.301,5.929,4.36385,1.007,,1.12257,5869.88
Kepler-1304,,682,-0.05,13.157,13.604,13.054,4.56,0.85,,0.81,5259
Kepler-1546,,994,0.01,13.623,14.025,13.511,4.48,0.95,,0.93,5623
Kepler-1250,,1371,0.04,14.14,14.432,14.008,4.46,0.99,,0.98,5717
18 Del,0.934,75.3012,0,3.439,4.032,3.366,3.08,2.33,,9,5076
Kepler-1437,,1182,-0.02,14.027,14.4,13.917,4.51,0.93,,0.9,5557
Kepler-618,,1115,0.08,13.417,13.67,13.335,4.39,1.05,,1.08,5860
Kepler-34,,,,13.301,13.605,13.24,,1.0479,,1.1618,
Kepler-1085,,1518,0.08,13.914,14.2,13.891,4.37,1.11,,1.14,6000
HD 171028,0.61,109.89,-0.48,6.663,6.99,6.604,3.84,1.01,,2.14418,5671
WASP-1,0.2,408.163,0.26,10.364,10.586,10.276,4.19,1.2,,1.517,6110
XO-5,0.84,270.27,0.25,10.443,10.774,10.345,4.34,1,0.76,1.05,5510
HAT-P-3,0.67,138.696,0.27,9.542,9.936,9.448,4.564,0.928,1.90714,0.833,5185
Kepler-1175,,1244,-0.04,14.279,14.628,14.149,4.53,0.9,,0.86,5453
Kepler-1421,,675,0.05,11.603,11.839,11.554,4.23,1.25,,1.42,6335
Kepler-1626,,1718,0.04,13.039,13.255,12.967,4.08,1.51,,1.85,6826
Kepler-718,,1520,0.06,13.679,14.005,13.604,4.28,1.18,,1.3,6191
Kepler-1583,,357,-0.07,11.329,11.693,11.279,4.49,0.94,,0.91,5645
Kepler-1529,,683,-0.03,13.297,13.799,13.257,4.58,0.81,,0.77,5048
Kepler-1446,,162,0.11,10.3,10.797,10.204,4.6,0.81,,0.75,4865
Kepler-1098,,876,-0.02,13.101,13.479,13.07,4.45,0.99,,0.99,5794
KOI 760,,,0.1,13.815,14.123,13.805,4.359,0.976,,1.082,5712
KOI 115,,,-0.06,11.555,11.811,11.503,4.339,0.941,,1.087,5779
KOI 777,,,-0.54,13.631,14.029,13.491,4.507,0.714,,0.781,5446
KOI 780,,,0.14,13.3,13.81,13.195,4.595,0.85,,0.765,5005
KOI 799,,,-0.18,13.59,13.918,13.507,4.41,0.889,,0.973,5735
KOI 797,,,-0.52,14.036,14.408,13.939,4.541,0.885,,0.836,5988
KOI 116,,,-0.12,11.494,11.752,11.431,4.406,0.951,,1.012,5854
KOI 802,,,-0.1,13.996,14.364,13.894,4.492,0.928,,0.905,5710
KOI 804,,,-0.12,13.479,13.931,13.429,4.526,0.824,,0.82,5349
KOI 810,,,0.18,13.232,13.643,13.203,4.574,0.891,,0.807,5170
KOI 815,,,-0.16,13.96,14.363,13.875,4.482,0.84,,0.871,5509
KOI 823,,,-0.44,13.702,14.019,13.598,4.428,0.959,,0.99,6228
KOI 834,,,0.3,13.545,13.894,13.512,4.191,1.083,,1.384,5739
KOI 841,,,0.21,14.026,14.484,14.118,4.581,0.926,,0.817,5251
KOI 868,,,0.12,12.678,13.251,12.515,4.627,0.666,,0.657,4245
KOI 856,,,-0.18,13.824,14.131,13.767,4.487,1.041,,0.964,6122
KOI 865,,,0.16,13.476,13.858,13.398,4.342,0.904,,1.062,5453
KOI 120,,,0,10.813,11.114,10.828,4.206,0.937,,1.264,5670
KOI 875,,,-0.06,13.277,13.855,13.102,4.747,0.544,,0.517,3837
KOI 892,,,0.18,13.249,13.67,13.135,4.457,0.822,,0.888,5121
KOI 883,,,-0.4,13.631,14.178,13.522,4.667,0.699,,0.639,4820
KOI 901,,,-0.14,13.326,13.909,13.182,4.721,0.563,,0.541,3950
KOI 902,,,-0.36,13.359,14,13.215,4.746,0.526,,0.509,3960
KOI 900,,,-0.04,14.023,14.197,13.849,4.327,1.009,,1.142,5942
KOI 914,,,-0.54,13.764,14.153,13.648,4.61,0.813,,0.738,5662
KOI 928,,,-0.08,13.542,13.945,13.589,4.566,0.928,,0.829,5569
KOI 924,,,-0.12,13.769,14.062,13.713,4.45,1.091,,1.031,6225
KOI 935,,,-0.28,13.984,14.233,13.871,4.22,0.958,,1.257,6035
KOI 145,,,0.07,11.483,12.008,11.382,3.066,2.15,,7.119,5047
KOI 1103,,,0.07,13.698,13.968,13.593,4.375,1.279,,1.215,6520
KOI 1168,,,-0.32,12.672,12.923,12.595,4.232,1.063,,1.309,6449
KOI 1169,,,0.36,11.768,12.103,11.715,4.505,1.064,,0.954,5630
KOI 1170,,,-0.5,13.137,13.492,13.024,4.597,0.865,,0.762,5757
KOI 971,,,-0.5,7.343,7.388,7.355,3.559,2.166,,4.051,8523
