STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
BD +14 4559,0.98,48.3559,0.1,7.455,7.882,7.336,4.6,0.86,,0.725686,4814
HD 1605,0.96,84.6,0.21,5.375,5.85,5.272,3.4,1.31,,3.8,4757
Kepler-79,0.690001,,-0.263,12.653,12.913,12.61,4.42,1.1,,1.1,6187
Kepler-202,,,,11.73,12.255,11.639,4.65,,,0.667,4668
Kepler-709,,668,-0.08,13.284,13.753,13.145,4.58,0.8,,0.77,5071
HD 197037,0.45,32.3311,-0.2,5.568,5.772,5.488,4.4,1.11,,1.09866,6150
HD 70642,0.692,28.0662,0.164227,5.674,5.953,5.573,4.43184,1.002,,1.03139,5705.54
KELT-2 A,0.52,128.5,-0.018,7.417,7.669,7.346,4.03,1.308,,1.828,6151
Kepler-10,,173,-0.15,9.563,9.889,9.496,4.341,0.895,,1.056,5627
Kepler-208,,,,12.309,12.547,12.21,4.265,,,1.314,6092
Kepler-1365,,541,0.03,11.925,12.251,11.857,4.39,1,,1.05,5770
Kepler-270,,,,12.614,12.938,12.627,4.196,,,1.461,6067
Kepler-966,,773,0.04,12.749,13.12,12.745,4.43,1.02,,1.02,5840
Kepler-1010,,610,-0.01,12.878,13.293,12.771,4.55,0.86,,0.82,5253
Kepler-811,,847,0.05,12.529,12.852,12.462,4.25,1.01,,1.24,5747
Kepler-225,,,,13.341,14.032,13.25,4.783,,,0.48,3682
Kepler-1305,,1343,0.01,14.101,14.493,14.104,4.47,0.97,,0.96,5701
Kepler-150,,,,13.422,13.817,13.37,4.466,,,0.939,5560
Kepler-1322,,1217,-0.07,14.167,14.572,14.068,4.52,0.9,,0.87,5488
M 67 YBP 1194,0.626,843.335,0.023,13.041,13.366,12.965,4.44,1.01,,1.01765,5780
Kepler-1084,,427,-0.02,10.904,11.178,10.836,4.27,1.12,,1.28,6113
Kepler-616,,1019,-0.02,13.412,13.814,13.448,4.46,0.98,,0.97,5753
Kepler-325,,,,13.4,13.81,13.35,4.411,,,1.003,5752
Kepler-1065,,1078,-0.01,13.802,14.178,13.671,4.49,0.94,,0.93,5635
Kepler-1464,,692,0.03,12.536,12.882,12.507,4.44,1.02,,1.01,5828
Kepler-340,,,,11.629,11.725,11.583,4.063,,,1.85,6620
Kepler-682,,951,-0.05,13.546,13.942,13.478,4.51,0.92,,0.89,5559
Kepler-507,,410,0.06,10.731,10.985,10.665,4.26,1.16,,1.32,6113
HD 40307,0.92,12.9955,-0.31,4.967,5.411,4.793,4.47,0.74,,0.839223,4977
HD 142,0.519,25.7136,0.0997966,4.645,4.69,4.474,4.18534,1.232,,1.5121,6248.6
Kepler-257,,,,13.448,13.916,13.371,4.36,,,1.037,5180
Kepler-976,,1020,0.07,13.973,14.361,13.887,4.55,0.87,,0.83,5232
WASP-10,,90.0901,0.03,10.117,10.603,9.983,4.4,0.79,1.51,0.698,4675
Kepler-982,,702,0.05,11.957,12.203,11.895,4.28,1.16,,1.29,6139
GJ 328,1.32,19.8,,6.523,7.191,6.352,,0.69,,,3900
WASP-17,0.24,400,-0.25,10.319,10.509,10.224,4.2,1.19,0.67,1.2,6550
HAT-P-17,0.83,90.0009,0,8.619,9.017,8.544,4.53,0.857,,0.837,5246
Kepler-162,,,,12.708,13.041,12.658,4.436,,,0.958,5816
Kepler-487,,835,0,13.326,13.732,13.25,4.51,0.91,,0.88,5444
HD 67087,0.53,88.8,0.25,6.905,7.098,6.866,4.19,1.36,,1.55,6330
Kepler-293,,,,13.781,14.098,13.66,4.504,,,0.957,5804
HD 102329,1.04,158.003,0.05,5.526,6.049,5.402,2.96,1.3,,7.27206,4745
Kepler-872,,1114,0.04,13.462,13.794,13.389,4.4,1.05,,1.08,5902
Kepler-1542,,336,0.06,11.034,11.421,10.989,4.41,0.94,,0.99,5564
HD 159868,0.72,58.6854,-0.08,5.567,5.94,5.535,3.96,1.16,,1.84825,5558
K2-21,1.29,65,-0.11,9.633,10.25,9.417,,0.64,4.15,0.6,4043
Kepler-424,,,0.44,12.6,12.905,12.47,4.49,1.01,1.74,0.94,5460
Kepler-262,,,,12.759,13.118,12.732,4.541,,,0.881,5841
WASP-117,0.599999,,-0.11,8.86,9.143,8.78,4.28,1.126,0.987,1.17,6040
WASP-75,0.6,260,0.07,10.1,10.36,10.06,4.5,1.14,0.56,1.26,6100
Kepler-1293,,770,0,12.134,12.412,12.075,4.29,1.18,,1.28,6241
Kepler-222,,,,13.341,13.717,13.23,4.551,,,0.869,5433
Kepler-334,,,,11.448,11.71,11.409,4.385,,,1.068,5828
HD 114783,0.93,20.5002,0.116482,5.623,6.025,5.474,4.52737,0.853,,0.837785,5135.09
GJ 581,1.6,6.24532,-0.1,6.094,6.706,5.836,4.96,0.31,,0.299,3498
Kepler-1638,,879,-0.01,13.204,13.55,13.138,4.47,0.97,,0.95,5710
Kepler-605,,570,0.02,12.496,12.869,12.422,4.52,0.91,,0.88,5462
Kepler-327,,,,12.11,12.794,11.956,4.758,,,0.492,3799
Kepler-793,,794,0,12.997,13.353,12.871,4.46,0.98,,0.97,5745
Kepler-1555,,1382,0.03,13.942,14.221,13.834,4.4,1.04,,1.06,5866
Kepler-419,,,0.176,,,,4.1,1.39,,1.75,6430
epsilon Ret,1.078,18.2382,0.33,1.814,2.374,1.745,3.46,1.24,,3.51559,4781
GJ 674,1.53,4.5405,-0.28,5.153,5.711,4.855,,0.35,,,3600
Kepler-511,,448,0.01,11.22,11.534,11.187,4.28,1,,1.2,5770
Kepler-1361,,404,0,12.059,12.514,11.98,4.57,0.83,,0.79,5131
HD 7924,0.826,16.8095,-0.15,5.231,5.618,5.159,4.59,0.832,,0.7821,5177
Kepler-57,,,,13.022,13.437,12.897,4.63,0.83,,0.73,5145
HD 168443,0.724,37.4252,0.04,5.325,5.641,5.211,4.07,0.995,,1.58859,5491
